ERROR @ 2011-11-11 20:24:35,684 [main] (DescriptionScanner.java:96) - Error : Index directory is missing!
 INFO @ 2011-11-15 17:04:02,537 [main] (IndexScanner.java:45) - 105 OK
 INFO @ 2011-11-15 17:04:02,537 [main] (IndexScanner.java:45) - 106 OK
 INFO @ 2011-11-15 17:04:02,537 [main] (IndexScanner.java:45) - 107 OK
 INFO @ 2011-11-15 17:04:02,537 [main] (IndexScanner.java:45) - 108 OK
 INFO @ 2011-11-15 17:04:02,564 [main] (IndexScanner.java:45) - 109 OK
 INFO @ 2011-11-15 17:04:02,565 [main] (IndexScanner.java:45) - 110 OK
 INFO @ 2011-11-15 17:04:02,565 [main] (IndexScanner.java:45) - 111 OK
 INFO @ 2011-11-15 17:04:02,566 [main] (IndexScanner.java:45) - 112 OK
 INFO @ 2011-11-15 17:04:02,566 [main] (IndexScanner.java:45) - 113 OK
 INFO @ 2011-11-15 17:04:02,566 [main] (IndexScanner.java:45) - 114 OK
 INFO @ 2011-11-15 17:04:02,567 [main] (IndexScanner.java:45) - 115 OK
 INFO @ 2011-11-15 17:04:02,567 [main] (IndexScanner.java:45) - 116 OK
 INFO @ 2011-11-15 17:04:02,567 [main] (IndexScanner.java:45) - 117 OK
 INFO @ 2011-11-15 17:04:02,567 [main] (IndexScanner.java:45) - 118 OK
 INFO @ 2011-11-15 17:04:02,568 [main] (IndexScanner.java:45) - 119 OK
 INFO @ 2011-11-15 17:04:02,568 [main] (IndexScanner.java:45) - 120 OK
 INFO @ 2011-11-15 17:04:02,568 [main] (IndexScanner.java:45) - 121 OK
 INFO @ 2011-11-15 17:04:02,568 [main] (IndexScanner.java:45) - 122 OK
 INFO @ 2011-11-15 17:04:02,569 [main] (IndexScanner.java:45) - 123 OK
 INFO @ 2011-11-15 17:04:02,569 [main] (IndexScanner.java:45) - 124 OK
 INFO @ 2011-11-15 17:04:02,569 [main] (IndexScanner.java:45) - 125 OK
 INFO @ 2011-11-15 17:04:02,569 [main] (IndexScanner.java:45) - 126 OK
 INFO @ 2011-11-15 17:04:02,570 [main] (IndexScanner.java:45) - 127 OK
 INFO @ 2011-11-15 17:04:02,570 [main] (IndexScanner.java:45) - 128 OK
 INFO @ 2011-11-15 17:04:02,570 [main] (IndexScanner.java:45) - 129 OK
 INFO @ 2011-11-15 17:04:02,570 [main] (IndexScanner.java:45) - 130 OK
 INFO @ 2011-11-15 17:04:02,570 [main] (IndexScanner.java:45) - 131 OK
 INFO @ 2011-11-15 17:04:02,571 [main] (IndexScanner.java:45) - 132 OK
 INFO @ 2011-11-15 17:04:02,571 [main] (IndexScanner.java:45) - 133 OK
 INFO @ 2011-11-15 17:04:02,571 [main] (IndexScanner.java:45) - 134 OK
 INFO @ 2011-11-15 17:04:02,571 [main] (IndexScanner.java:45) - 135 OK
 INFO @ 2011-11-15 17:04:02,572 [main] (IndexScanner.java:45) - 136 OK
 INFO @ 2011-11-15 17:04:02,572 [main] (IndexScanner.java:45) - 137 OK
 INFO @ 2011-11-15 17:04:02,572 [main] (IndexScanner.java:45) - 138 OK
 INFO @ 2011-11-15 17:04:02,572 [main] (IndexScanner.java:45) - 139 OK
 INFO @ 2011-11-15 17:04:02,572 [main] (IndexScanner.java:45) - 140 OK
 INFO @ 2011-11-15 17:04:02,573 [main] (IndexScanner.java:45) - 141 OK
 INFO @ 2011-11-15 17:04:02,573 [main] (IndexScanner.java:45) - 142 OK
 INFO @ 2011-11-15 17:04:02,573 [main] (IndexScanner.java:45) - 143 OK
 INFO @ 2011-11-15 17:04:02,573 [main] (IndexScanner.java:45) - 144 OK
 INFO @ 2011-11-15 17:04:02,574 [main] (IndexScanner.java:45) - 145 OK
 INFO @ 2011-11-15 17:04:02,574 [main] (IndexScanner.java:45) - 146 OK
 INFO @ 2011-11-15 17:04:02,574 [main] (IndexScanner.java:45) - 147 OK
 INFO @ 2011-11-15 17:04:02,574 [main] (IndexScanner.java:45) - 148 OK
 INFO @ 2011-11-15 17:04:02,574 [main] (IndexScanner.java:45) - 149 OK
 INFO @ 2011-11-15 17:04:02,575 [main] (IndexScanner.java:45) - 150 OK
 INFO @ 2011-11-15 17:04:02,575 [main] (IndexScanner.java:45) - 151 OK
 INFO @ 2011-11-15 17:04:02,575 [main] (IndexScanner.java:45) - 152 OK
 INFO @ 2011-11-15 17:04:02,575 [main] (IndexScanner.java:45) - 153 OK
 INFO @ 2011-11-15 17:04:02,575 [main] (IndexScanner.java:45) - 154 OK
 INFO @ 2011-11-15 17:04:02,576 [main] (IndexScanner.java:45) - 155 OK
 INFO @ 2011-11-15 17:04:02,576 [main] (IndexScanner.java:45) - 156 OK
 INFO @ 2011-11-15 17:04:02,576 [main] (IndexScanner.java:45) - 157 OK
 INFO @ 2011-11-15 17:04:02,576 [main] (IndexScanner.java:45) - 158 OK
 INFO @ 2011-11-15 17:04:02,577 [main] (IndexScanner.java:45) - 159 OK
 INFO @ 2011-11-15 17:04:02,577 [main] (IndexScanner.java:45) - 160 OK
 INFO @ 2011-11-15 17:04:02,577 [main] (IndexScanner.java:45) - 161 OK
 INFO @ 2011-11-15 17:04:02,577 [main] (IndexScanner.java:45) - 162 OK
 INFO @ 2011-11-15 17:04:02,577 [main] (IndexScanner.java:45) - 163 OK
